,cod_cidades,city,uf,atendido_loggi,distancia_cajamar,populacao,area_em_km2,tem_malha,latitude,longitude,idh_renda,indice_roubo,quantidade_decolagens,latitude_airport,longitude_airport,caminhao,caminhonete,camioneta,motocicleta,preco_gasolina,preco_diesel_s10,area_urbana,pib,distance_airport,viabilidade_terrestre,viabilidade_aerea,custo_indireto,custo_direto,lucro,score
1,3518800,GUARULHOS,SP,não,21,1349158,318.014,1,-23.4538,-46.5333,0.746,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,20532.0,41455.0,29590.0,85801.0,4.393466666666667,3.5988974358974364,179.6,51389524.0,0.0,0.826221055191251,1.0,0.4748705035815566,0.0011501689310617496,0.718411213740909,0.3993564105753874
3,3548708,SAO BERNARDO DO CAMPO,SP,não,18,827379,406.18,0,-23.6914,-46.5646,0.807,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,11528.0,33868.0,24599.0,72555.0,4.299,3.649,86.6,47551620.0,29.836667556898618,0.6180295527782362,1.0,0.47271619592738184,0.014337314452601372,0.6217125067924448,0.32325029991410786
6,3534401,OSASCO,SP,não,25,697743,64.935,0,-23.5324,-46.7916,0.7759999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,9932.0,26034.0,19678.0,61895.0,4.393466666666667,3.5988974358974364,61.0,58566199.0,34.262290537581386,0.5032131195837872,1.0,0.4748705035815566,0.01736371548730032,0.6490846075433231,0.31042736150887423
521,4208203,ITAJAI,SC,não,605,212632,289.255,0,-26.9101,-48.6705,0.778,0.44154354715814353,1732701.0,-27.670278549194336,-48.5525016784668,4596.0,9576.0,5891.0,29621.0,3.7889999999999997,3.3485,20.9,17128932.0,85.04008908902925,0.19442164742272453,0.13849427848216947,0.12676172828005783,0.12392765857025116,0.36885186017891397,0.278346153098045
8,3552205,SOROCABA,SP,não,104,659961,449.122,0,-23.4969,-47.4451,0.792,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,8121.0,31224.0,17765.0,79681.0,4.393466666666667,3.5988974358974364,206.0,32662452.0,99.54270032537131,0.5161012481741617,1.0,0.4748705035815566,0.058517808943443946,0.6521804777526249,0.27229004191454237
4,3547809,SANTO ANDRE,SP,não,20,715112,174.84,0,-23.6737,-46.5432,0.8190000000000001,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,8878.0,28032.0,24760.0,66385.0,4.393466666666667,3.5988974358974364,65.0,28119591.0,27.32983209454608,0.5495977272573126,1.0,0.4748705035815566,0.013480652642655742,0.49113535486892523,0.2659858770685084
486,5002704,CAMPO GRANDE,MS,não,993,874184,8096.051,1,-20.4486,-54.6295,0.79,0.5552730863805821,756143.0,-20.468700408900002,-54.6725006104,16006.0,51091.0,19093.0,137103.0,4.1480999999999995,3.591,332.0,23902135.0,0.0,0.8036807989673207,0.05333551805847116,0.33061089238470714,0.14089569405506433,0.7292105939455399,0.2622695689950363
516,4209102,JOINVILLE,SC,não,522,577024,1125.7,1,-26.3045,-48.8487,0.795,0.44154354715814353,1732701.0,-27.670278549194336,-48.5525016784668,8362.0,22164.0,16388.0,59428.0,4.253933333333334,3.4907222222222227,114.4,24570851.0,0.0,0.4337545237029885,0.13849427848216947,0.2939534277386618,0.07317949823880383,0.512936280871612,0.24823209265537227
28,3505708,BARUERI,SP,não,33,267553,64.167,0,-23.5057,-46.879,0.7909999999999999,0.9990112442385886,11612017.0,-23.435556411743164,-46.47305679321289,6082.0,12820.0,9575.0,23496.0,4.393466666666667,3.5988974358974364,55.5,46151952.0,42.19392721785735,0.25070771521050506,1.0,0.4748705035815566,0.022134150244013967,0.576569340235308,0.24240077253836298
308,4113700,LONDRINA,PR,não,537,558461,1650.809,1,-23.304000000000002,-51.1691,0.789,0.4800804175541046,3238576.0,-25.5284996033,-49.175800323500006,9481.0,30389.0,14572.0,70922.0,4.402125,3.4268571428571426,117.8,15820903.0,0.0,0.4889408804709476,0.2698110547033839,0.31048051412157146,0.0753360649845446,0.46371860970999457,0.2402977245685317
